"","x"
"1","21114462"
"2","20949831"
"3","20982788"
"4","21023546"
"5","21052454"
"6","21000223"
"7","21060844"
"8","20954506"
"9","20997178"
"10","20943479"
"11","21004415"
"12","21135236"
"13","20972260"
"14","20960080"
"15","20989051"
"16","20990149"
"17","21119520"
"18","21116067"
"19","21075814"
"20","21076497"
"21","21114418"
"22","20951555"
"23","21147990"
"24","21036307"
"25","21018116"
"26","20983037"
"27","20935850"
"28","20936172"
"29","21131745"
"30","21146070"
"31","21195892"
"32","21098816"
"33","21114287"
"34","21149660"
"35","21099779"
"36","21064856"
"37","21042205"
"38","21146894"
"39","21108722"
"40","21132071"
"41","21121314"
"42","21053462"
"43","21156460"
"44","21196619"
"45","20964943"
"46","20983892"
"47","21051798"
"48","21144408"
"49","21086793"
"50","20985634"
"51","21125526"
"52","21100683"
"53","21144588"
"54","21088029"
"55","20967020"
"56","21025823"
"57","21021827"
"58","21060082"
"59","21001073"
"60","21016165"
"61","21072045"
"62","21132751"
"63","20957520"
"64","20994971"
"65","21115791"
"66","21115999"
"67","20926711"
"68","21198261"
"69","21064924"
"70","21016973"
"71","21192090"
"72","21101561"
"73","20948364"
"74","20997665"
"75","20925296"
"76","21050652"
"77","21082581"
"78","21136689"
"79","21009788"
"80","21057358"
"81","21188596"
"82","20926823"
"83","21105258"
"84","21022735"
"85","20928935"
"86","21196101"
"87","21074051"
"88","21189937"
"89","21150324"
"90","21103073"
"91","21166774"
"92","21133665"
"93","21029498"
"94","20974375"
"95","20996096"
"96","21014466"
"97","21069316"
"98","21032035"
"99","21096864"
"100","21077395"
"101","21061479"
"102","21052986"
"103","21061852"
"104","21120571"
"105","21055834"
"106","20998379"
"107","21067457"
"108","21027713"
"109","21122380"
"110","21046106"
"111","20946941"
"112","21179089"
"113","20954712"
"114","21108718"
"115","20957518"
"116","21045442"
"117","21157904"
"118","20978228"
"119","20967386"
"120","21123842"
"121","21179858"
"122","20961619"
"123","20999080"
"124","21165882"
"125","21102144"
"126","20977834"
"127","21010540"
"128","21039293"
"129","21000512"
"130","21136710"
"131","21033803"
"132","21166075"
"133","21061274"
"134","21064036"
"135","21096343"
"136","21029068"
"137","21151304"
"138","20931104"
"139","21078315"
"140","21079643"
"141","21082831"
"142","21184820"
"143","21130559"
"144","20968975"
"145","21070088"
"146","21115880"
"147","21006163"
"148","21186298"
"149","21161741"
"150","21123329"
"151","21139039"
"152","21072700"
"153","20993953"
"154","20967985"
"155","21029247"
"156","21168205"
"157","21165870"
"158","21182471"
"159","21153750"
"160","21026823"
"161","21014799"
"162","21025928"
"163","21118417"
"164","21029752"
"165","21146586"
"166","20945257"
"167","21064568"
"168","21115792"
"169","21158390"
"170","21149527"
"171","21182189"
"172","21090293"
"173","21128143"
"174","21164987"
"175","21192320"
"176","20969910"
"177","21154967"
"178","21008763"
"179","20974488"
"180","21018842"
"181","20931900"
"182","21119278"
"183","20962430"
"184","21084414"
"185","20940674"
"186","21106154"
"187","21186188"
"188","21059091"
"189","20998754"
"190","21150438"
"191","20987151"
"192","21076901"
"193","21082684"
"194","21109617"
"195","21037099"
"196","21153925"
"197","20940311"
"198","20949728"
"199","21197517"
"200","21138309"
"201","20945286"
"202","20938329"
"203","21067695"
"204","21112976"
"205","21018493"
"206","21191538"
"207","20963587"
"208","21053057"
"209","21063521"
"210","21108233"
"211","20943511"
"212","21096703"
"213","21047042"
"214","21151008"
"215","20929547"
"216","21019906"
"217","21195743"
"218","20951270"
"219","21136848"
"220","21023549"
"221","20975577"
"222","21005218"
"223","21118968"
"224","21137723"
"225","21076317"
"226","21055549"
"227","21086642"
"228","20983749"
"229","21120099"
"230","20947043"
"231","21096262"
