,UMPA1,UMAP2,timepoint
2180271,-1.9155151,10.47919,tp0
2180289,7.9607587,8.4275675,tp0
2180361,0.6243605,12.143469,tp0
2180428,-1.6619266,9.745223,tp0
2180515,2.7987287,9.273119,tp0
2180534,9.085069,8.568837,tp0
2180716,-2.5985265,9.859805,tp0
2180756,5.7198334,8.274118,tp0
2180978,0.25894883,7.3498263,tp0
2180982,9.233384,7.488791,tp0
2180985,8.723551,8.736849,tp0
2180998,2.747869,11.19263,tp0
2181142,6.30522,8.614993,tp0
2181205,-2.02085,8.281243,tp0
2181216,0.9754809,11.12174,tp0
2181289,-1.7629437,9.739193,tp0
2181406,-1.3149294,11.5575285,tp0
2181417,-2.7049255,9.900221,tp0
2181606,-1.8003676,8.41197,tp0
2181616,1.4149563,11.400709,tp0
2181632,3.5407474,8.946482,tp0
2181865,-0.24853274,10.980519,tp0
2181924,-0.5712349,9.589415,tp0
2181925,-2.0149078,11.380983,tp0
2182058,2.0696864,7.8537145,tp0
2182065,0.7952969,5.109572,tp0
2182080,7.2692127,8.343147,tp0
2182166,2.3714807,8.960915,tp0
2182191,2.0537438,7.6733165,tp0
2182220,-1.0455481,7.1848745,tp0
2182244,-1.4377587,7.2411003,tp0
2182308,-1.2261387,9.206183,tp0
2182500,-2.6895573,8.599374,tp0
2182564,10.33538,9.158937,tp0
2182657,9.380848,7.255965,tp0
2182667,3.6971903,8.436855,tp0
2182692,-1.8515086,11.52559,tp0
2182785,8.69054,6.24759,tp0
2182798,-0.55969805,11.36704,tp0
2182821,2.1122653,10.048166,tp0
2182841,0.9169011,11.176251,tp0
2182891,-2.2926264,8.4897375,tp0
2182899,0.5356097,8.006292,tp0
2182914,-1.256048,10.181488,tp0
2183023,-0.25407216,11.110312,tp0
2183092,-2.3540256,11.235822,tp0
2183108,8.652485,7.8322444,tp0
2183152,5.4807916,7.360381,tp0
2183189,4.372392,8.711287,tp0
2183322,-1.6323539,11.428115,tp0
2183352,3.045716,10.176414,tp0
2183422,2.0727043,4.2266617,tp0
2183486,-1.6735373,11.24226,tp0
2183622,-1.0679499,8.618267,tp0
2183653,8.111404,7.225499,tp0
2183720,-1.8253483,9.197723,tp0
2183729,-2.1345203,11.35828,tp0
2183730,1.2375133,8.11194,tp0
2183749,-1.2337551,11.7319565,tp0
2183752,-0.37240374,8.428716,tp0
2183869,-0.3542676,10.116439,tp0
2183887,0.41067028,9.929569,tp0
2183915,-0.8914257,9.468742,tp0
2183939,-1.3352246,7.749419,tp0
2183952,4.5102363,9.608195,tp0
2184067,-0.2195091,11.3735485,tp0
2184141,2.2545645,7.417324,tp0
2184144,1.7361623,7.919719,tp0
2184206,9.301739,7.8184714,tp0
2184432,10.782908,3.9338095,tp0
2184523,-1.5019872,12.110865,tp0
2184626,-2.2928553,8.437495,tp0
2184935,-0.72406536,10.216652,tp0
2185039,7.132075,6.013718,tp0
2185116,0.33052042,8.606415,tp0
2185120,-1.7130795,8.216342,tp0
2185149,2.6796875,8.335562,tp0
2185244,4.044362,10.4184,tp0
2185320,10.259122,4.875357,tp0
2185323,0.91943455,7.9614697,tp0
2185379,4.573499,7.260381,tp0
2185407,-2.4293911,9.567987,tp0
2185465,-0.5941649,10.342079,tp0
2185469,-2.31339,9.117193,tp0
2185526,-2.4070399,11.089003,tp0
2185527,9.343435,7.5818896,tp0
2185729,-2.5133574,9.4599495,tp0
2185788,-1.5925703,11.233569,tp0
2185798,9.568358,9.6051,tp0
2185911,0.39460498,8.297853,tp0
2185928,-1.9187351,11.472216,tp0
2186003,2.0262234,9.70452,tp0
2186076,-2.941565,9.287042,tp0
2186106,7.252415,8.267434,tp0
2186165,2.200024,8.556172,tp0
2186181,1.2032379,11.296071,tp0
2186211,5.3828697,8.229949,tp0
2186228,5.3246374,8.247986,tp0
2186356,-1.8752667,7.310226,tp0
2186372,8.607515,7.3891807,tp0
2186604,8.436682,8.090244,tp0
2186656,-1.4752158,11.316961,tp0
2186749,2.997199,8.650854,tp0
2186754,9.737176,7.8946943,tp0
2186800,-0.2855961,7.5875864,tp0
2186836,8.045491,8.383298,tp0
2187114,-0.117959216,9.6715355,tp0
2187123,5.9334955,8.093986,tp0
2187142,-2.1281283,10.444277,tp0
2187196,-1.1687092,7.489378,tp0
2187224,0.33302894,9.26035,tp0
2187225,-2.123188,8.886008,tp0
2187239,12.14099,6.748768,tp0
2187287,2.4110715,9.966546,tp0
2187302,10.68939,3.8845675,tp0
2187311,-2.5746262,9.598819,tp0
2187330,9.87943,6.327586,tp0
2187342,-1.763574,7.915054,tp0
2187357,7.115414,9.520265,tp0
2187396,0.09623825,7.9774356,tp0
2187404,-0.23638138,12.339943,tp0
2187449,-1.9098424,7.76347,tp0
2187456,2.5230303,8.518143,tp0
2187616,-0.1742838,7.5878234,tp0
2187711,0.42835295,8.403807,tp0
2187947,-1.3315606,7.379455,tp0
2187974,-2.8695796,8.792589,tp0
2188032,0.50325245,11.632094,tp0
2188107,-1.7048212,12.028269,tp0
2188126,8.969063,9.004885,tp0
2188131,-2.3617663,9.489061,tp0
2188168,-2.4873984,10.517457,tp0
2188186,4.9138093,7.8297777,tp0
2188221,-2.3240683,9.709468,tp0
2188292,7.0627418,7.4815555,tp0
2188307,-2.5868456,8.797807,tp0
2188362,0.42985994,10.342072,tp0
2188411,1.0368626,7.842328,tp0
2188452,-0.6838564,10.128405,tp0
2188461,-1.3196888,8.4499235,tp0
2188498,-0.6862234,12.313577,tp0
2188598,-2.2871368,11.309259,tp0
2188616,-2.0559926,7.8857055,tp0
2188761,3.4489505,9.135651,tp0
2188848,-0.98861027,6.917515,tp0
2188876,0.25072855,7.3353806,tp0
2188883,3.3060827,8.227678,tp0
2188888,-0.1714532,10.019722,tp0
2188944,1.0301032,8.274539,tp0
2188965,-1.293487,10.560829,tp0
2189014,10.591612,8.329914,tp0
2189025,1.211813,10.502634,tp0
2189028,-0.9335643,10.389732,tp0
2189142,-2.7676678,9.213782,tp0
2189156,-2.1595666,7.434092,tp0
2189187,2.5942402,8.000733,tp0
2189254,10.604445,4.23071,tp0
2189331,-0.32471377,11.4831505,tp0
2189371,3.9288182,9.940138,tp0
2189479,-2.5698392,9.947931,tp0
2189486,-1.4578915,9.997689,tp0
2189508,-0.7674161,8.005507,tp0
2189587,6.679739,8.189385,tp0
2189589,0.09376459,7.403818,tp0
2189621,0.3801936,8.590863,tp0
2189689,2.7841568,9.173518,tp0
2189750,0.1646376,7.745316,tp0
2189777,-2.5034962,8.529687,tp0
2189834,-0.44976586,8.533179,tp0
2190068,2.1809592,8.733761,tp0
2190108,10.319664,6.6267824,tp0
2190189,5.7109175,8.387017,tp0
2190310,0.4362221,10.315419,tp0
2190348,-2.4016266,10.755956,tp0
2190371,0.3527871,8.40664,tp0
2190434,7.08254,8.4551935,tp0
2190480,-2.4882843,10.422328,tp0
2190499,6.351325,9.236411,tp0
2190532,0.6256915,11.682147,tp0
2190559,-1.434354,10.76645,tp0
2190749,-0.17177409,7.9672894,tp0
2190814,6.71995,9.479912,tp0
2190828,11.18608,7.151682,tp0
2190895,-1.7233555,9.330266,tp0
2190992,9.499299,7.621548,tp0
2191053,10.983227,5.6984253,tp0
2191085,-2.1586494,8.991004,tp0
2191117,-0.5605824,10.173022,tp0
2191248,-0.40837312,8.156024,tp0
2191302,6.3553653,8.466106,tp0
2191383,-2.0131767,11.444503,tp0
2191403,-1.2583702,9.521785,tp0
2191465,-1.1517801,10.267514,tp0
2191469,-1.997305,9.246683,tp0
2191473,6.827257,7.781483,tp0
2191479,-1.772401,9.5435705,tp0
2191492,-2.2894385,10.707794,tp0
2191498,7.9019704,8.477757,tp0
2191624,1.5611796,11.214446,tp0
2191764,0.4032965,9.857627,tp0
2191781,-1.4061465,8.482047,tp0
2191826,8.887704,8.182197,tp0
2191919,-1.3738515,10.379929,tp0
2191933,10.702836,5.757727,tp0
2192023,-1.0781419,8.955104,tp0
2192025,10.240739,8.106819,tp0
2192074,-0.1993192,10.804194,tp0
2192137,10.555817,6.62194,tp0
2192357,2.3455958,11.132132,tp0
2192377,-1.583172,8.959419,tp0
2192435,8.433108,7.138912,tp0
2192469,-2.4071836,8.013772,tp0
2192575,-1.2236096,9.375971,tp0
2192601,9.775632,6.205602,tp0
2192697,-1.7793654,11.946647,tp0
2192706,-1.1957451,8.616759,tp0
2192729,-2.4469905,10.387889,tp0
2192768,-2.614837,9.728953,tp0
2192811,-2.1227067,9.675045,tp0
2192900,-1.9592459,10.201004,tp0
2192934,-1.6910908,7.7292466,tp0
2193071,10.536803,5.2693653,tp0
2193345,10.120628,6.049164,tp0
2193501,6.6795564,8.845603,tp0
2193502,7.568176,7.7635455,tp0
2193547,1.5848211,9.42794,tp0
2193575,0.745021,11.7319565,tp0
2193648,6.0156794,8.308359,tp0
2193748,-2.339703,10.131659,tp0
2193904,10.829799,4.621979,tp0
2194120,1.9236838,10.122352,tp0
2194151,10.408188,8.012218,tp0
2194205,-2.9010134,9.792362,tp0
2194380,-1.9629062,10.152571,tp0
2194403,-2.8520129,9.64496,tp0
2194551,8.599037,7.5143557,tp0
2194754,8.666792,7.496028,tp0
2194888,-0.7086171,8.139887,tp0
2194962,1.7849115,9.466058,tp0
2194974,-1.6629204,11.271394,tp0
2195035,9.544475,9.225523,tp0
2195047,-0.38827324,10.309531,tp0
2195103,-0.8041533,10.100938,tp0
2195178,2.8454976,9.768354,tp0
2195225,-2.2423952,7.5926757,tp0
2195247,-1.6993572,11.36323,tp0
2195296,-2.229982,7.3954406,tp0
2195314,3.1954238,9.258762,tp0
2195319,-0.21966322,10.416939,tp0
2195348,6.156226,8.613448,tp0
2195373,11.078927,5.366073,tp0
2195400,6.174914,7.969445,tp0
2195497,0.32646006,9.326158,tp0
2195557,-0.8547901,8.559765,tp0
